Date,Open,High,Low,Close ,Adj Close ,Volume
18-Jul-24,444.34,444.65,434.4,440.37,437.82,"20,794,800"
17-Jul-24,442.59,444.85,439.18,443.52,440.95,"21,778,000"
16-Jul-24,454.22,454.3,446.66,449.52,446.92,"17,175,700"
15-Jul-24,453.3,457.26,451.43,453.96,451.33,"14,429,400"
12-Jul-24,454.33,456.36,450.65,453.55,450.93,"16,324,300"
11-Jul-24,462.98,464.78,451.55,454.7,452.07,"23,111,200"
10-Jul-24,461.22,466.46,458.86,466.25,463.55,"18,196,100"
9-Jul-24,467,467.33,458,459.54,456.88,"17,207,200"
8-Jul-24,466.55,467.7,464.46,466.24,463.54,"12,962,300"
5-Jul-24,459.61,468.35,458.97,467.56,464.85,"16,000,300"
3-Jul-24,458.19,461.02,457.88,460.77,458.1,"9,932,800"
2-Jul-24,453.2,459.59,453.11,459.28,456.62,"13,979,800"
1-Jul-24,448.66,457.37,445.66,456.73,454.09,"17,662,800"
28-Jun-24,453.07,455.38,446.41,446.95,444.36,"28,362,300"
27-Jun-24,452.18,456.17,451.77,452.85,450.23,"14,806,300"
26-Jun-24,449,453.6,448.19,452.16,449.54,"16,507,000"
25-Jun-24,448.25,451.42,446.75,450.95,448.34,"16,747,500"
24-Jun-24,449.8,452.75,446.41,447.67,445.08,"15,913,700"
21-Jun-24,447.38,450.58,446.51,449.78,447.18,"34,486,200"
20-Jun-24,446.3,446.53,441.27,445.7,443.12,"19,877,400"
18-Jun-24,449.71,450.14,444.89,446.34,443.76,"17,112,500"
17-Jun-24,442.59,450.94,440.72,448.37,445.78,"20,790,000"
14-Jun-24,438.28,443.14,436.72,442.57,440.01,"13,582,000"
13-Jun-24,440.85,443.39,439.37,441.58,439.02,"15,960,600"
12-Jun-24,435.32,443.4,433.25,441.06,438.51,"22,366,200"
11-Jun-24,425.48,432.82,425.25,432.68,430.18,"14,551,100"
10-Jun-24,424.7,428.08,423.89,427.87,425.39,"14,003,000"
7-Jun-24,426.2,426.28,423,423.85,421.4,"13,621,700"
6-Jun-24,424.01,425.31,420.58,424.52,422.06,"14,861,300"
5-Jun-24,417.81,424.08,416.3,424.01,421.56,"16,988,000"
4-Jun-24,412.43,416.44,409.68,416.07,413.66,"14,348,900"
3-Jun-24,415.53,416.43,408.92,413.52,411.13,"17,484,700"
31-May-24,416.75,416.75,404.51,415.13,412.73,"47,995,300"
30-May-24,424.3,424.3,414.24,414.67,412.27,"28,424,800"
29-May-24,425.69,430.94,425.69,429.17,426.69,"15,517,100"
28-May-24,429.63,430.82,426.6,430.32,427.83,"15,718,000"
24-May-24,427.19,431.06,424.41,430.16,427.67,"11,845,800"
23-May-24,432.97,433.6,425.42,427,424.53,"17,211,700"
22-May-24,430.09,432.41,427.13,430.52,428.03,"18,073,700"
